Name,Country,Position,Goals,Assists,Tackles,Saves,Club,League,League_Website
Nawaf Al-Abed,Saudi Arabia,FW,0,0,0,0,Al-Shabab,Unknown,Unknown
Haitham Asiri,Saudi Arabia,FW,0,0,0,0,Al-Ahly,Unknown,Unknown
Saleh Al-Shehri,Saudi Arabia,FW,0,0,0,0,Al-Hilal Firas Al-Buraikan,Unknown,Unknown
Guillermo Ochoa,Mexico,GK,0,0,0,0,America,Unknown,Unknown
Alfredo Talavera,Mexico,GK,0,0,0,0,Juarez,Unknown,Unknown
Rodolfo Cota,Mexico,GK,0,0,0,0,Leon,Unknown,Unknown
Jorge Sanchez,Mexico,DF,0,0,0,0,Ajax,Unknown,Unknown
Kevin Alvarez,Mexico,DF,0,0,0,0,Pachuca,Unknown,Unknown
Nestor Araujo,Mexico,DF,0,0,0,0,America,Unknown,Unknown
Johan Vasquez,Mexico,DF,0,0,0,0,Cremonese,Unknown,Unknown
Hector Moreno,Mexico,DF,0,0,0,0,Monterrey,Unknown,Unknown
Cesar Montes,Mexico,DF,0,0,0,0,Monterrey,Unknown,Unknown
Gerardo Arteaga,Mexico,DF,0,0,0,0,Genk,Unknown,Unknown
Jesus Gallardo,Mexico,DF,0,0,0,0,Monterrey,Unknown,Unknown
Andres Guardado,Mexico,MF,0,0,0,0,Real Betis,Unknown,Unknown
Hector Herrera,Mexico,MF,0,0,0,0,Houston Dynamo,Unknown,Unknown
Charly Rodriguez,Mexico,MF,0,0,0,0,Cruz Azul,Unknown,Unknown
Erick Gutierrez,Mexico,MF,0,0,0,0,PSV,Unknown,Unknown
Luis Chavez,Mexico,MF,0,0,0,0,Pachuca,Unknown,Unknown
Edson Alvarez,Mexico,MF,0,0,0,0,Ajax,Unknown,Unknown
Orbelin Pineda,Mexico,MF,0,0,0,0,AEK Athens,Unknown,Unknown
Luis Romo,Mexico,MF,0,0,0,0,Monterrey,Unknown,Unknown
Alexis Vega,Mexico,FW,0,0,0,0,Guadalajara,Unknown,Unknown
Hirving Lozano,Mexico,FW,0,0,0,0,Napoli,Unknown,Unknown
Raul Jimenez,Mexico,FW,0,0,0,0,Wolves,Unknown,Unknown
Roberto Alvarado,Mexico,FW,0,0,0,0,Guadalajara,Unknown,Unknown
Uriel Antuna,Mexico,FW,0,0,0,0,Cruz Azul,Unknown,Unknown
Henry Martin,Mexico,FW,0,0,0,0,America,Unknown,Unknown
Rogelio Funes Mori,Mexico,FW,0,0,0,0,Monterrey,Unknown,Unknown
Kamil Grabara,Poland,GK,0,0,0,0,FC Copenhagen,Unknown,Unknown
Lukasz Skorupski,Poland,GK,0,0,0,0,Bologna,Unknown,Unknown
Wojciech Szczesny,Poland,GK,0,0,0,0,Juventus,Unknown,Unknown
Jan Bednarek,Poland,DF,0,0,0,0,Aston Villa,Unknown,Unknown
Bartosz Bereszynski,Poland,DF,0,0,0,0,Sampdoria,Unknown,Unknown
Matty Cash,Poland,DF,0,0,0,0,Aston Villa,Unknown,Unknown
Kamil Glik,Poland,DF,0,0,0,0,Benevento,Unknown,Unknown
Robert Gumny,Poland,DF,0,0,0,0,FC Augsburg,Unknown,Unknown
Artur Jedrzejczyk,Poland,DF,0,0,0,0,Legia Warsaw,Unknown,Unknown
Jakub Kiwior,Poland,DF,0,0,0,0,Spezia,Unknown,Unknown
Mateusz Wieteska,Poland,DF,0,0,0,0,Clermont,Unknown,Unknown
Nicola Zalewski,Poland,DF,0,0,0,0,Roma,Unknown,Unknown
Krystian Bielik,Poland,MF,0,0,0,0,Birmingham,Unknown,Unknown
Przemyslaw Frankowski,Poland,MF,0,0,0,0,Lens,Unknown,Unknown
Kamil Grosicki,Poland,MF,0,0,0,0,Pogon Szczecin,Unknown,Unknown
Jakub Kaminski,Poland,MF,0,0,0,0,VfL Wolfsburg,Unknown,Unknown
Grzegorz Krychowiak,Poland,MF,0,0,0,0,Al-Shabab,Unknown,Unknown
Michal Skoras,Poland,MF,0,0,0,0,Lech Poznan,Unknown,Unknown
Damian Szymanski,Poland,MF,0,0,0,0,AEK Athens,Unknown,Unknown
Sebastian Szymanski,Poland,MF,0,0,0,0,Feyenoord,Unknown,Unknown
Piotr Zielinski,Poland,MF,0,0,0,0,Napoli,Unknown,Unknown
Szymon Zurkowski,Poland,MF,0,0,0,0,Fiorentina,Unknown,Unknown
Robert Lewandowski,Poland,FW,0,0,0,0,Barcelona,Unknown,Unknown
Arkadiusz Milik,Poland,FW,0,0,0,0,Juventus,Unknown,Unknown
Krzysztof Piatek,Poland,FW,0,0,0,0,Salernitana,Unknown,Unknown
Karol Swiderski,Poland,FW,0,0,0,0,Charlotte FC,Unknown,Unknown
Alphonse Areola,France,GK,0,0,0,0,West Ham,Unknown,Unknown
Hugo Lloris,France,GK,0,0,0,0,Tottenham,Unknown,Unknown
Steve Mandanda,France,GK,0,0,0,0,Rennes,Unknown,Unknown
Theo Hernandez,France,DF,0,0,0,0,AC Milan,Unknown,Unknown
Ibrahima Konate,France,DF,0,0,0,0,Liverpool,Unknown,Unknown
Jules Kounde,France,DF,0,0,0,0,Barcelona,Unknown,Unknown
Benjamin Pavard,France,DF,0,0,0,0,Bayern Munich,Unknown,Unknown
William Saliba,France,DF,0,0,0,0,Arsenal,Unknown,Unknown
Dayot Upamencano,France,DF,0,0,0,0,Bayern Munich,Unknown,Unknown
Raphael Varane,France,DF,0,0,0,0,Manchester United,Unknown,Unknown
Axel Disasi,France,DF,0,0,0,0,Monaco,Unknown,Unknown
Eduardo Camavinga,France,MF,0,0,0,0,Real Madrid,Unknown,Unknown
Youssouf Fofana,France,MF,0,0,0,0,Monaco,Unknown,Unknown
Matteo Guendouzi,France,MF,0,0,0,0,Marseille,Unknown,Unknown
Adrien Rabiot,France,MF,0,0,0,0,Juventus,Unknown,Unknown
Aurelien Tchouameni,France,MF,0,0,0,0,Real Madrid,Unknown,Unknown
Jordan Veretout,France,MF,0,0,0,0,Marseille,Unknown,Unknown
Karim Benzema,France,FW,0,0,0,0,Real Madrid,Unknown,Unknown
Kingsley Coman,France,FW,0,0,0,0,Bayern Munich,Unknown,Unknown
Ousmane Dembele,France,FW,0,0,0,0,Barcelona,Unknown,Unknown
Olivier Giroud,France,FW,0,0,0,0,AC Milan,Unknown,Unknown
Antoine Griezmann,France,FW,0,0,0,0,Atletico Madrid,Unknown,Unknown
